Title;Artist;Genre;Year;Bpm;Energy;Danceability;Db;Liveness;Valence;Duration;Acousticness;Speechiness;Popularity
Flowers;Miley Cyrus;Pop;2023;118;68;71;-4;3;65;200;6;7;98
Cupid - Twin Ver.;FIFTY FIFTY;Pop;2023;120;59;78;-8;35;73;174;44;3;97
BESO;ROSALÍA;Pop;2023;95;64;77;-7;17;53;195;74;14;96
Boy's a liar Pt. 2;PinkPantheress;Other;2023;133;81;70;-8;25;86;131;25;5;96
Creepin' (with The Weeknd & 21 Savage);Metro Boomin;Hip hop/Rap/R&b;2022;98;62;72;-6;8;17;222;42;5;96
Daylight;David Kushner;Other;2023;130;43;51;-9;9;32;213;83;3;96
TQG;KAROL G;Latin/Reggaeton;2023;180;63;72;-4;9;61;199;67;28;96
Calm Down (with Selena Gomez);Rema;Other;2022;107;81;80;-5;11;80;239;38;4;95
Anti-Hero;Taylor Swift;Pop;2022;97;64;64;-7;14;53;201;13;5;94
Here With Me;d4vd;Pop;2022;132;47;57;-8;13;29;242;53;3;94
I'm Good (Blue);David Guetta;Other;2022;128;97;56;-4;37;30;175;0;3;94
Kill Bill;SZA;Pop;2022;89;74;64;-6;16;42;154;5;4;94
Die For You - Remix;The Weeknd;Hip hop/Rap/R&b;2023;67;53;53;-6;44;50;233;23;7;93
I Ain't Worried;OneRepublic;Rock/Metal;2022;140;80;70;-6;5;83;148;8;5;93
Quevedo: Bzrp Music Sessions Vol. 52;Bizarrap;Hip hop/Rap/R&b;2022;128;78;62;-6;23;55;199;1;4;93
Starboy;The Weeknd;Hip hop/Rap/R&b;2016;186;59;68;-7;14;49;230;14;28;93
Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez;Other;2022;101;55;55;-5;20;34;176;78;3;93
Another Love;Tom Odell;Pop;2013;123;54;45;-9;9;13;244;70;4;92
As It Was;Harry Styles;Pop;2022;174;73;52;-5;31;66;167;34;6;92
Blinding Lights;The Weeknd;Hip hop/Rap/R&b;2020;171;73;51;-6;9;33;200;0;6;92
Me Porto Bonito;Bad Bunny;Latin/Reggaeton;2022;92;71;91;-5;9;43;179;9;8;92
Mockingbird;Eminem;Hip hop/Rap/R&b;2004;84;68;64;-4;16;25;251;21;27;92
Players;Coi Leray;Hip hop/Rap/R&b;2022;105;52;95;-6;5;62;140;3;16;92
Cruel Summer;Taylor Swift;Pop;2019;170;70;55;-6;11;56;178;12;16;91
Escapism.;RAYE;Hip hop/Rap/R&b;2022;96;74;54;-5;9;25;272;14;11;91
Ojitos Lindos;Bad Bunny;Latin/Reggaeton;2022;80;69;65;-6;53;27;258;8;4;91
Search & Rescue;Drake;Hip hop/Rap/R&b;2023;142;44;82;-8;33;54;272;6;7;91
Sure Thing;Miguel;Hip hop/Rap/R&b;2010;81;61;68;-8;19;50;195;3;10;91
Sweater Weather;The Neighbourhood;Rock/Metal;2013;124;81;61;-3;10;40;240;5;3;91
Unholy (feat. Kim Petras);Sam Smith;Pop;2022;131;47;71;-7;27;24;157;1;9;91
All Of The Girls You Loved Before;Taylor Swift;Pop;2019;96;47;72;-10;13;40;221;71;4;90
Dandelions;Ruth B.;Other;2017;117;69;61;-3;9;45;234;2;3;90
Ditto;NewJeans;Pop;2022;134;64;81;-6;10;18;186;3;11;90
Efecto;Bad Bunny;Latin/Reggaeton;2022;98;48;80;-9;6;23;213;14;5;90
golden hour;JVKE;Pop;2022;94;59;52;-5;25;15;209;65;3;90
Heat Waves;Glass Animals;Pop;2020;81;53;76;-7;9;53;239;44;9;90
La Bachata;Manuel Turizo;Pop;2022;125;68;84;-5;22;85;163;58;4;90
Last Night;Morgan Wallen;Other;2023;204;68;52;-5;15;52;164;46;4;90
lovely (with Khalid);Billie Eilish;Pop;2018;115;30;35;-10;10;12;200;93;3;90
Made You Look;Meghan Trainor;Pop;2022;145;53;84;-4;8;88;134;35;7;90
Nonsense;Sabrina Carpenter;Pop;2022;139;70;74;-5;22;73;164;3;3;90
